Rank	Type	Prepositions
1	preposition	to
2	preposition	of
3	preposition	in
4	preposition	for
5	preposition	on
6	preposition	with
7	preposition	at
8	preposition	by
9	preposition	from
10	preposition	up
11	preposition	about
12	preposition	into
13	preposition	over
14	preposition	after
15	preposition	under
16	preposition	between
17	preposition	below
18	preposition	behind
19	preposition	among
20	preposition	around
21	preposition	down
22	preposition	inside
23	preposition	out
24	preposition	across
25	preposition	without
