N	Type	Word
1	fruit	Amla
2	fruit	Apple
3	fruit	Apricot
4	fruit	Avocado
5	fruit	Banana
6	fruit	Blackberry
7	fruit	Blackcurrant
8	fruit	Blueberry
9	fruit	Carambola
10	fruit	Cherry
11	fruit	Coconut
12	fruit	Cranberry
13	fruit	Curuba
14	fruit	Dragon Fruit
15	fruit	Durian
16	fruit	Fig
17	fruit	Granadilla
18	fruit	Grape
19	fruit	Grapefruit
20	fruit	Guava
21	fruit	Jackfruit
22	fruit	Kiwi
23	fruit	Lemon
24	fruit	Lime
25	fruit	Longan
26	fruit	Lychee
27	fruit	Mandarin
28	fruit	Mango
29	fruit	Mangosteen
30	fruit	Melon
31	fruit	Melon Cantaloupe
32	fruit	Mulberry
33	fruit	Nectarine
34	fruit	Orange
35	fruit	Papaya
36	fruit	Passionfruit
37	fruit	Peach
38	fruit	Pear
39	fruit	Persimmon
40	fruit	Pineapple
41	fruit	Plum
42	fruit	Pomegranate
43	fruit	Pomelo
44	fruit	Quince
45	fruit	Rambutan
46	fruit	Raspberry
47	fruit	Rose Apple
48	fruit	Soursop
49	fruit	Star Apple
50	fruit	Strawberry
51	fruit	Tamarillo
52	fruit	Tamarind
53	fruit	Tangerine
54	fruit	Uchuva
55	fruit	Watermelon
